album,score,magnitude_mean,magnitude_sd,sentiment_mean,sentiment_sd
The College Dropout,87,34.6687497794628,15.6464738607151,-0.170322067698266,0.136744216324337
Late Registration,85,26.3866665522257,11.4142521294314,-0.121284764701257,0.107114216440082
Graduation,79,27.0384613917424,8.69221898104415,-0.095781385289381,0.119454708057772
808s & Heartbreak,75,21.5916667779287,7.42029410166043,-0.107374054048753,0.185572394575958
My Beautiful Dark Twisted Fantasy,94,34.7583333651225,17.2126140975311,-0.144867867953372,0.079370359273873
Watch the Throne,76,23.3166665236155,7.65656908891902,-0.147792033430294,0.081616588304966
Yeezus,84,26.2400001525879,8.33285078059445,-0.197733855320271,0.088867413010467
The Life of Pablo,75,27.1473680295442,13.8344861734154,-0.095724194669144,0.130449855153101
ye,64,22.8714283534459,4.61479404370888,-0.134873952466149,0.122246528827141
Kids See Ghosts,84,23.142857006618,6.17040324542939,0.042593093487246,0.163762529255647
Jesus is King,53,16.3400001049042,8.16972459144462,0.075258928564428,0.164914774034897
