"","name","song","value","album"
"1","people","We Don't Care",10,"The College Dropout"
"2","man","We Don't Care",10,"The College Dropout"
"3","money","We Don't Care",7,"The College Dropout"
"4","sky","We Don't Care",4,"The College Dropout"
"5","hand","We Don't Care",4,"The College Dropout"
"6","drug dealin","We Don't Care",4,"The College Dropout"
"7","joke","We Don't Care",4,"The College Dropout"
"8","kid","We Don't Care",3,"The College Dropout"
"9","nothin","We Don't Care",2,"The College Dropout"
"10","job","We Don't Care",2,"The College Dropout"
"11","song","We Don't Care",2,"The College Dropout"
"12","ass","We Don't Care",2,"The College Dropout"
"13","momma","We Don't Care",2,"The College Dropout"
"14","n****","We Don't Care",2,"The College Dropout"
"15","scholarship","We Don't Care",2,"The College Dropout"
"16","cause","We Don't Care",2,"The College Dropout"
"17","n****","We Don't Care",2,"The College Dropout"
"18","school","We Don't Care",1,"The College Dropout"
"19","work","We Don't Care",1,"The College Dropout"
"20","cop work","We Don't Care",1,"The College Dropout"
"21","ambulance","We Don't Care",1,"The College Dropout"
"22","house","We Don't Care",1,"The College Dropout"
"23","crack","We Don't Care",1,"The College Dropout"
"24","s***","We Don't Care",1,"The College Dropout"
"25","dude house","We Don't Care",1,"The College Dropout"
"26","lottery ticket","We Don't Care",1,"The College Dropout"
"27","teacher","We Don't Care",1,"The College Dropout"
"28","father","We Don't Care",1,"The College Dropout"
"29","$6.55","We Don't Care",1,"The College Dropout"
"30","rap","We Don't Care",1,"The College Dropout"
"31","cash","We Don't Care",1,"The College Dropout"
"32","sing.","We Don't Care",1,"The College Dropout"
"33","sky high","We Don't Care",1,"The College Dropout"
"34","ambition","We Don't Care",1,"The College Dropout"
"35","dopeman","We Don't Care",1,"The College Dropout"
"36","program","We Don't Care",1,"The College Dropout"
"37","tuition","We Don't Care",1,"The College Dropout"
"38","no one","We Don't Care",1,"The College Dropout"
"39","wheelchair","We Don't Care",1,"The College Dropout"
"40","scratchin","We Don't Care",1,"The College Dropout"
"41","work.","We Don't Care",1,"The College Dropout"
"42","hammer","We Don't Care",1,"The College Dropout"
"43","pack","We Don't Care",1,"The College Dropout"
"44","somethin","We Don't Care",1,"The College Dropout"
"45","dog","We Don't Care",1,"The College Dropout"
"46","park","We Don't Care",1,"The College Dropout"
"47","weight","We Don't Care",1,"The College Dropout"
"48","space","We Don't Care",1,"The College Dropout"
"49","layaway","We Don't Care",1,"The College Dropout"
"50","clas","We Don't Care",1,"The College Dropout"
"51","question","We Don't Care",1,"The College Dropout"
"52","fool","We Don't Care",1,"The College Dropout"
"53","6.55","We Don't Care",1,"The College Dropout"
"54","community college","We Don't Care",1,"The College Dropout"
"55","retard","We Don't Care",1,"The College Dropout"
"56","shorty","We Don't Care",1,"The College Dropout"
"57","rock","We Don't Care",1,"The College Dropout"
"58","flickin","We Don't Care",1,"The College Dropout"
"59","bakin","We Don't Care",1,"The College Dropout"
"60","makeup","We Don't Care",1,"The College Dropout"
"61","chromie wheel","We Don't Care",1,"The College Dropout"
"62","school bu","We Don't Care",1,"The College Dropout"
"63","trey","We Don't Care",1,"The College Dropout"
"64","income tax","We Don't Care",1,"The College Dropout"
"65","hood","We Don't Care",1,"The College Dropout"
"66","lights out","We Don't Care",1,"The College Dropout"
"67","blow","We Don't Care",1,"The College Dropout"
"68","world","We Don't Care",1,"The College Dropout"
"69","way","We Don't Care",1,"The College Dropout"
"70","welfare","We Don't Care",1,"The College Dropout"
"71","doe","We Don't Care",1,"The College Dropout"
"72","jacob","We Don't Care",1,"The College Dropout"
"73","eye","We Don't Care",1,"The College Dropout"
"74","everybody","We Don't Care",1,"The College Dropout"
"75","tape","We Don't Care",1,"The College Dropout"
"76","home","We Don't Care",1,"The College Dropout"
"77","verse","We Don't Care",1,"The College Dropout"
"78","starter coat","We Don't Care",1,"The College Dropout"
"79","weed","We Don't Care",1,"The College Dropout"
"80","car","We Don't Care",1,"The College Dropout"
"81","one","We Don't Care",1,"The College Dropout"
"82","drug game bulimic","We Don't Care",1,"The College Dropout"
"83","some","We Don't Care",1,"The College Dropout"
"84","loan","We Don't Care",1,"The College Dropout"
"85","s***","Last Call",15,"The College Dropout"
"86","one","Last Call",14,"The College Dropout"
"87","man","Last Call",13,"The College Dropout"
"88","glasses","Last Call",9,"The College Dropout"
"89","kanye","Last Call",9,"The College Dropout"
"90","beat","Last Call",8,"The College Dropout"
"91","glass","Last Call",8,"The College Dropout"
"92","dame","Last Call",7,"The College Dropout"
"93","deal","Last Call",7,"The College Dropout"
"94","beat","Last Call",6,"The College Dropout"
"95","people","Last Call",6,"The College Dropout"
"96","n****","Last Call",6,"The College Dropout"
"97","n****","Last Call",5,"The College Dropout"
"98","song","Last Call",5,"The College Dropout"
"99","whatever","Last Call",4,"The College Dropout"
"100","capitol","Last Call",4,"The College Dropout"
"101","jay-z","Last Call",4,"The College Dropout"
"102","album","Last Call",4,"The College Dropout"
"103","alcohol","Last Call",4,"The College Dropout"
"104","heart","Last Call",4,"The College Dropout"
"105","everybody","Last Call",3,"The College Dropout"
"106","sky","Last Call",3,"The College Dropout"
"107","louis vuitton","Last Call",3,"The College Dropout"
"108","company","Last Call",3,"The College Dropout"
"109","cause","Last Call",3,"The College Dropout"
"110","benz","Last Call",3,"The College Dropout"
"111","city","Last Call",3,"The College Dropout"
"112","room","Last Call",3,"The College Dropout"
"113","more","Last Call",3,"The College Dropout"
"114","ass","Last Call",3,"The College Dropout"
"115","phone","Last Call",3,"The College Dropout"
"116","wall","Last Call",3,"The College Dropout"
"117","jay","Last Call",3,"The College Dropout"
"118","something","Last Call",3,"The College Dropout"
"119","hiphop","Last Call",3,"The College Dropout"
"120","life","Last Call",3,"The College Dropout"
"121","song","Last Call",3,"The College Dropout"
"122","rap","Last Call",3,"The College Dropout"
"123","call","Last Call",3,"The College Dropout"
"124","thing","Last Call",2,"The College Dropout"
"125","rapper","Last Call",2,"The College Dropout"
"126","head","Last Call",2,"The College Dropout"
"127","air","Last Call",2,"The College Dropout"
"128","money","Last Call",2,"The College Dropout"
"129","dude","Last Call",2,"The College Dropout"
"130","response.","Last Call",2,"The College Dropout"
"131","word","Last Call",2,"The College Dropout"
"132","bean","Last Call",2,"The College Dropout"
"133","act","Last Call",2,"The College Dropout"
"134","miracle whip","Last Call",2,"The College Dropout"
"135","jessica rivera","Last Call",2,"The College Dropout"
"136","apartment","Last Call",2,"The College Dropout"
"137","bunch","Last Call",2,"The College Dropout"
"138","bed","Last Call",2,"The College Dropout"
"139","jersey","Last Call",2,"The College Dropout"
"140","relationship","Last Call",2,"The College Dropout"
"141","a&r","Last Call",2,"The College Dropout"
"142","two","Last Call",2,"The College Dropout"
"143","kid","Last Call",2,"The College Dropout"
"144","suit","Last Call",2,"The College Dropout"
"145","brick","Last Call",2,"The College Dropout"
"146","sir","Last Call",2,"The College Dropout"
"147","relationship","Last Call",2,"The College Dropout"
"148","mom","Last Call",2,"The College Dropout"
