album,,count,words
The College Dropout,nice as bun-b when i met him at the source awards.,0.8999999761581421,nice as bun-b when i met him at the source awards.
The College Dropout,"my relationship with kweli i think was one of the best ones to ever happen to my career as a rapper. because, you know, of course later he allowed me to go on tour with him.",0.8999999761581421,"my relationship with kweli i think was one of the best ones to ever happen to my career as a rapper. because, you know, of course later he allowed me to go on tour with him."
The College Dropout,"man, i appre-- i love him for that.",0.8999999761581421,"man, i appre-- i love him for that."
The College Dropout,"hold up, hold fast, we make more cash.",0.800000011920929,"hold up, hold fast, we make more cash."
The College Dropout,"i rocked 20,000 people, i was just on tour, nigga.",0.800000011920929,"i rocked 20,000 people, i was just on tour, nigga."
The College Dropout,"they favorite 50 cent song ""12 questions"".",0.699999988079071,"they favorite 50 cent song ""12 questions""."
The College Dropout,"i appreciated what they did for me but, you know there's a time in every man's life where he gotta make a change.",0.699999988079071,"i appreciated what they did for me but, you know there's a time in every man's life where he gotta make a change."
The College Dropout,"and i was almost famous, now everybody love kanye.",0.6000000238418579,"and i was almost famous, now everybody love kanye."
The College Dropout,"man, i had picked out clothes, i already started booking studio sessions, i started arranging my album, thinking of marketing schemes, man i was ready to go.",0.6000000238418579,"man, i had picked out clothes, i already started booking studio sessions, i started arranging my album, thinking of marketing schemes, man i was ready to go."
The College Dropout,"i'm like ""it's me."" he's like ""oh, well okay."".",0.6000000238418579,"i'm like ""it's me."" he's like ""oh, well okay.""."
Yeezus,i am a god.,0.699999988079071,i am a god.
Yeezus,i'm a god,0.699999988079071,i'm a god
Yeezus,i am a god. . aaaaaaaaaaaaahhhhhhhhhhhh!!.,0.699999988079071,i am a god. . aaaaaaaaaaaaahhhhhhhhhhhh!!.
Yeezus,i am a god. . .,0.699999988079071,i am a god. . .
Yeezus,my whole life in the hand of god.,0.6000000238418579,my whole life in the hand of god.
Yeezus,and now she find out what life is really worth.,0.6000000238418579,and now she find out what life is really worth.
Yeezus,aaaaaaaaaaaaahhhhhhhhhhhh!!. . .,0.4000000059604645,aaaaaaaaaaaaahhhhhhhhhhhh!!. . .
Yeezus,aaaaaaaaaaaaahhhhhhhhhhhh!!.,0.30000001192092896,aaaaaaaaaaaaahhhhhhhhhhhh!!.
Yeezus,the only rapper compared to michael.,0.30000001192092896,the only rapper compared to michael.
Yeezus,i know he the most high.,0.30000001192092896,i know he the most high.
