album,,mean,sd
The College Dropout,0,34.668749779462814,15.646473860715128
Late Registration,0,26.386666552225748,11.414252129431373
Graduation,0,27.038461391742413,8.692218981044153
808s & Heartbreak,0,21.59166677792867,7.420294101660427
My Beautiful Dark Twisted Fantasy,0,34.758333365122475,17.21261409753106
Watch the Throne,0,23.31666652361552,7.656569088919022
Yeezus,0,26.24000015258789,8.332850780594448
The Life of Pablo,0,27.14736802954423,13.834486173415357
ye,0,22.87142835344587,4.614794043708879
Kids See Ghosts,0,23.142857006617955,6.17040324542939
Jesus is King,0,16.340000104904174,8.16972459144462
