album,,mean,sd
The College Dropout,0,-0.1703220676982662,0.1367442163243373
Late Registration,0,-0.12128476470125742,0.10711421644008184
Graduation,0,-0.09578138528938132,0.11945470805777186
808s & Heartbreak,0,-0.10737405404875285,0.18557239457595817
My Beautiful Dark Twisted Fantasy,0,-0.14486786795337203,0.07937035927387243
Watch the Throne,0,-0.14779203343029368,0.08161658830496545
Yeezus,0,-0.19773385532027069,0.08886741301046679
The Life of Pablo,0,-0.09572419466914421,0.13044985515310134
ye,0,-0.13487395246614928,0.12224652882714132
Kids See Ghosts,0,0.04259309348724636,0.16376252925564722
Jesus is King,0,0.0752589285644282,0.16491477403489688
