album,count,words
The College Dropout,25,people
The College Dropout,24,step
The College Dropout,25,kanye
The College Dropout,37,s***
The College Dropout,43,n****
The College Dropout,46,one
The College Dropout,50,man
The College Dropout,23,way
The College Dropout,54,thing
The College Dropout,19,two
Late Registration,30,one
Late Registration,25,girl
Late Registration,23,man
Late Registration,22,homie
Late Registration,19,crack music n****
Late Registration,16,baby
Late Registration,18,home
Late Registration,18,head
Late Registration,13,sky
Late Registration,13,music
Graduation,14,home
Graduation,13,people
Graduation,22,girl
Graduation,21,life
Graduation,19,everything
Graduation,29,s***
Graduation,16,man
Graduation,14,nothing
Graduation,14,big brother
Graduation,17,baby
808s & Heartbreak,9,boy
808s & Heartbreak,20,one
808s & Heartbreak,18,life
808s & Heartbreak,13,love
808s & Heartbreak,12,love lock-down
808s & Heartbreak,12,everybody
808s & Heartbreak,11,girl
808s & Heartbreak,9,news
808s & Heartbreak,23,things
808s & Heartbreak,9,love lockdown
My Beautiful Dark Twisted Fantasy,30,one
My Beautiful Dark Twisted Fantasy,25,baby
My Beautiful Dark Twisted Fantasy,25,s***
My Beautiful Dark Twisted Fantasy,19,hands
My Beautiful Dark Twisted Fantasy,16,names
My Beautiful Dark Twisted Fantasy,15,way
My Beautiful Dark Twisted Fantasy,15,toast
My Beautiful Dark Twisted Fantasy,38,n****
My Beautiful Dark Twisted Fantasy,20,lights
My Beautiful Dark Twisted Fantasy,20,life
Watch the Throne,10,ball
Watch the Throne,10,stars
Watch the Throne,11,thing
Watch the Throne,12,life
Watch the Throne,14,people
Watch the Throne,17,murder
Watch the Throne,22,n****
Watch the Throne,10,god
Watch the Throne,9,zone
Watch the Throne,10,s***
Yeezus,21,bitch
Yeezus,18,dem
Yeezus,17,god
Yeezus,16,nobody
Yeezus,22,n****
Yeezus,10,bitches
Yeezus,9,one
Yeezus,9,bout
Yeezus,8,ass
Yeezus,11,s***
The Life of Pablo,17,yeezy
The Life of Pablo,19,30
The Life of Pablo,20,baby
The Life of Pablo,22,life
The Life of Pablo,19,god
The Life of Pablo,24,s***
The Life of Pablo,31,n****
The Life of Pablo,31,one
The Life of Pablo,23,kanye
The Life of Pablo,16,friends
ye,25,n****
ye,11,girl
ye,10,mistake
ye,9,i'ma
ye,9,ayy
ye,9,s***
ye,9,ass
ye,8,one
ye,6,frightenin
ye,6,bottle
Kids See Ghosts,28,lord
Kids See Ghosts,6,pain
Kids See Ghosts,6,heaven
Kids See Ghosts,9,stress
Kids See Ghosts,16,light
Kids See Ghosts,16,love
Kids See Ghosts,22,kids
Kids See Ghosts,23,ghosts
Kids See Ghosts,6,spirit
Kids See Ghosts,6,somethin
Jesus is King,7,light
Jesus is King,7,king
Jesus is King,12,life
Jesus is King,12,water
Jesus is King,12,one
Jesus is King,14,everything
Jesus is King,16,hands
Jesus is King,23,god
Jesus is King,6,faith
Jesus is King,31,jesus
