"","source","target","value"
"1",0,0,1
"2",0,185,2
"3",0,193,2
"4",0,224,2
"5",1,1,1
"6",1,56,2
"7",1,159,2
"8",1,162,2
"9",1,190,2
"10",1,280,2
"11",2,2,1
"12",2,23,2
"13",2,120,2
"14",2,185,2
"15",2,194,2
"16",2,224,2
"17",2,258,2
"18",3,3,1
"19",3,4,2
"20",3,20,4
"21",3,38,2
"22",3,59,2
"23",3,61,2
"24",3,107,2
"25",3,108,2
"26",3,122,2
"27",3,136,2
"28",3,141,2
"29",3,162,2
"30",3,185,4
"31",3,194,2
"32",3,200,2
"33",3,224,2
"34",3,241,2
"35",3,270,2
"36",4,4,1
"37",4,20,4
"38",4,38,2
"39",4,59,2
"40",4,61,2
"41",4,107,2
"42",4,108,2
"43",4,122,2
"44",4,136,2
"45",4,141,2
"46",4,162,2
"47",4,185,4
"48",4,194,2
"49",4,200,2
"50",4,224,2
"51",4,241,2
"52",4,270,2
"53",5,5,2
"54",5,12,2
"55",5,52,2
"56",5,60,2
"57",5,79,2
"58",5,151,2
"59",5,152,2
"60",5,178,2
"61",5,185,2
"62",5,268,2
"63",6,6,2
"64",6,49,2
"65",6,98,2
"66",6,151,2
"67",6,170,2
"68",6,274,2
"69",6,278,2
"70",7,7,1
"71",7,75,2
"72",7,158,2
"73",7,166,2
"74",7,172,2
"75",7,198,2
"76",7,272,2
"77",7,278,2
"78",8,8,1
"79",9,9,1
"80",9,162,2
"81",10,10,1
"82",10,28,2
"83",10,29,2
"84",10,104,2
"85",10,135,2
"86",10,148,2
"87",10,167,2
"88",10,170,2
"89",10,222,2
"90",11,11,1
"91",11,21,2
"92",11,33,2
"93",11,128,2
"94",11,251,2
"95",12,12,8
"96",12,32,2
"97",12,69,2
"98",12,79,2
"99",12,130,2
"100",12,132,2
"101",12,145,2
"102",12,147,2
"103",12,150,2
"104",12,151,2
"105",12,152,2
"106",12,177,2
"107",12,182,2
"108",12,194,6
"109",12,197,2
"110",12,204,2
"111",12,205,2
"112",12,224,4
"113",12,257,2
"114",12,259,2
"115",12,267,2
"116",12,268,2
"117",13,13,1
"118",13,204,2
"119",14,14,1
"120",14,55,2
"121",14,160,2
"122",14,165,2
"123",14,211,2
"124",15,15,1
"125",15,131,2
"126",15,213,2
"127",16,16,1
"128",16,181,2
"129",16,281,2
"130",17,17,1
"131",17,80,2
"132",17,81,2
"133",18,18,1
"134",18,124,2
"135",18,151,2
"136",19,19,1
"137",19,79,2
"138",19,85,2
"139",19,112,2
"140",19,152,2
"141",19,153,2
"142",20,20,5
"143",20,38,4
"144",20,59,4
"145",20,61,4
"146",20,106,2
"147",20,107,4
"148",20,108,4
"149",20,120,2
"150",20,122,4
"151",20,136,4
"152",20,141,4
"153",20,162,4
"154",20,185,8
"155",20,194,4
"156",20,200,4
"157",20,224,4
"158",20,235,2
"159",20,241,4
"160",20,270,4
"161",21,21,1
"162",21,33,2
"163",21,128,2
"164",21,251,2
"165",22,22,3
"166",22,51,2
"167",22,97,2
"168",22,120,2
"169",22,127,2
"170",22,151,4
"171",22,152,2
"172",22,153,2
"173",22,161,2
"174",22,168,2
"175",22,194,2
"176",23,23,1
"177",23,120,2
"178",23,185,2
"179",23,194,2
"180",23,224,2
"181",23,258,2
"182",24,24,1
"183",24,106,2
"184",24,182,2
"185",24,185,2
"186",24,186,2
"187",24,210,2
"188",24,224,2
"189",24,257,2
"190",25,25,1
"191",25,30,2
"192",25,45,2
"193",25,149,2
"194",25,233,2
"195",25,279,2
"196",26,26,1
"197",26,185,2
"198",26,237,2
"199",27,27,1
"200",27,35,2
"201",27,78,2
"202",27,102,2
"203",27,130,2
"204",27,134,2
"205",27,194,2
"206",27,224,2
"207",27,263,2
"208",27,275,2
"209",28,28,1
"210",28,29,2
"211",28,104,2
"212",28,135,2
"213",28,148,2
"214",28,167,2
"215",28,170,2
"216",28,222,2
"217",29,29,1
"218",29,104,2
"219",29,135,2
"220",29,148,2
"221",29,167,2
"222",29,170,2
"223",29,222,2
"224",30,30,1
"225",30,45,2
"226",30,149,2
"227",30,233,2
"228",30,279,2
"229",31,31,2
"230",31,103,2
"231",31,151,2
"232",31,155,2
"233",31,162,2
"234",31,194,2
"235",31,202,2
"236",31,203,2
"237",31,250,2
"238",31,251,2
"239",31,256,2
"240",32,32,1
"241",32,130,2
"242",32,132,2
"243",32,194,2
"244",33,33,1
"245",33,128,2
"246",33,251,2
"247",34,34,1
"248",34,106,4
"249",35,35,1
"250",35,78,2
"251",35,102,2
"252",35,130,2
"253",35,134,2
"254",35,194,2
"255",35,224,2
"256",35,263,2
"257",35,275,2
"258",36,36,1
"259",36,39,2
"260",36,42,2
"261",36,47,2
"262",36,71,2
"263",36,77,2
"264",36,110,2
"265",36,117,2
"266",36,126,2
"267",36,129,2
"268",36,133,2
"269",36,138,2
"270",36,195,2
"271",36,196,2
"272",36,209,2
"273",36,221,2
"274",36,226,2
"275",36,230,2
"276",36,232,2
"277",36,238,2
"278",36,248,2
"279",36,257,2
"280",36,260,2
"281",37,37,1
"282",37,66,2
"283",37,89,2
"284",37,101,2
"285",37,175,2
"286",37,253,2
"287",37,254,2
"288",38,38,1
"289",38,59,2
"290",38,61,2
"291",38,107,2
"292",38,108,2
"293",38,122,2
"294",38,136,2
"295",38,141,2
"296",38,162,2
"297",38,185,4
"298",38,194,2
"299",38,200,2
"300",38,224,2
"301",38,241,2
"302",38,270,2
"303",39,39,1
"304",39,42,2
"305",39,47,2
"306",39,71,2
"307",39,77,2
"308",39,110,2
"309",39,117,2
"310",39,126,2
"311",39,129,2
"312",39,133,2
"313",39,138,2
"314",39,195,2
"315",39,196,2
"316",39,209,2
"317",39,221,2
"318",39,226,2
"319",39,230,2
"320",39,232,2
"321",39,238,2
"322",39,248,2
"323",39,257,2
"324",39,260,2
"325",40,40,1
"326",40,82,2
"327",40,194,2
"328",41,41,1
