"","name","size"
"1","300",6
"2","a million",5
"3","air",12
"4","all",14
"5","america",7
"6","ass",7
"7","ayy",8
"8","baby",49
"9","baby jesus",6
"10","ball",6
"11","bang",5
"12","beam",6
"13","beat",14
"14","big brother",14
"15","bitch",20
"16","bitches",5
"17","blame game",11
"18","bottle",6
"19","bout",5
"20","boy",15
"21","brother",6
"22","bulls***",9
"23","c'mon homie",11
"24","cab",5
"25","champion",9
"26","chance",6
"27","chill",8
"28","church",11
"29","city",6
"30","concert",9
"31","coretta",5
"32","crack music n****",19
"33","dad",5
"34","dame",7
"35","deal",7
"36","dem",12
"37","dessert",5
"38","destination",5
"39","diamond",8
"40","door",5
"41","dream",5
"42","eighteen",5
"43","everybody",20
"44","everything",42
"45","ey 'ey 'ey",12
"46","eye",7
"47","f***",5
"48","fadin",8
"49","faith",10
"50","fare",5
"51","fire",9
"52","fly",8
"53","fore",8
"54","freak",6
"55","freedom",8
"56","friend",16
"57","frightenin",6
"58","front",5
"59","gangsta",6
"60","genie",6
"61","ghost",22
"62","girl",64
"63","glass",8
"64","glasses",9
"65","glory",8
"66","god",52
"67","god dream",9
"68","gold digger",8
"69","gossip",6
"70","graveshift",8
"71","gwaan",6
"72","hand",45
"73","head",21
"74","hell",5
"75","help",6
"76","highlight",6
"77","hip hop brother",6
"78","hoe",8
"79","home",19
"80","homie",22
"81","i'ma",23
"82","jesus",29
"83","jungle",7
"84","kanye",41
"85","kid",21
"86","king",6
"87","l.a.",13
"88","la la",9
"89","lie",8
"90","life",50
"91","light",42
"92","lord",27
"93","love",25
"94","love lock-down",12
"95","love lockdown",9
"96","luxury",11
"97","malcolm",6
"98","mama",6
"99","man",62
"100","many",6
"101","mars",5
"102","martin",6
"103","memorie",5
"104","menacin",6
"105","mind",5
"106","mine",6
"107","mistake",10
"108","mob",6
"109","moment",5
"110","money",27
"111","monster",12
"112","moon",9
"113","mothaf***a",7
"114","motherf***er",6
"115","murder",17
"116","music",12
"117","n****",84
"118","name",21
"119","new",9
"120","night sky",13
"121","nightlife",5
"122","nike",5
"123","nobody",15
"124","nothing",27
"125","omen",5
"126","one",97
"127","paper",10
"128","parties",12
"129","party",10
"130","people",29
"131","pimp",6
"132","pinocchio",5
"133","place",5
"134","power",16
"135","profit",7
"136","rain",6
"137","reason",6
"138","robocop",8
"139","rosie",7
"140","s***",54
"141","salad",5
"142","sky",19
"143","slave",7
"144","somebody",5
"145","song",5
"146","spaceship",10
"147","spirit",6
"148","spot",8
"149","star",9
"150","step",24
"151","street",6
"152","street light",5
"153","stress",9
"154","talk",6
"155","thing",72
"156","thirty",5
"157","toast",15
"158","two",15
"159","vision",7
"160","war",8
"161","water",12
"162","way",18
"163","wire",5
"164","word",12
"165","work",6
"166","workout plan",8
"167","world",11
"168","yeezy",16
"169","zone",9
