album,,sentiment,album
808s & Heartbreak,"can't waste no time, she might leave soon. . . hey, hey, hey, hey.",-0.30000001192092896,808s & Heartbreak
808s & Heartbreak,"don't say you will, if you will, i pray you will. . .",-0.5,808s & Heartbreak
808s & Heartbreak,"don't say you will, one day you will, i pray you will. . .",-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,"don't say you will, then play you will, i pray you will. . .",-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,"don't say you will, unless you will.",-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,"don't say you will, you do.",-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,"don't say you will, you will you will.",-0.699999988079071,808s & Heartbreak
808s & Heartbreak,"don't say you will, you will, you will.",-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,"hey, hey, hey, hey.",0.30000001192092896,808s & Heartbreak
808s & Heartbreak,"i admit i still fantasize about you, about you. . . hey, hey, hey, hey.",0.10000000149011612,808s & Heartbreak
808s & Heartbreak,i wish this song would really come true.,0.4000000059604645,808s & Heartbreak
808s & Heartbreak,mrs.,-0.10000000149011612,808s & Heartbreak
808s & Heartbreak,"now i'm awake, sleep . . .",0.0,808s & Heartbreak
808s & Heartbreak,"please say you will, for real, i pray you will. .",0.10000000149011612,808s & Heartbreak
808s & Heartbreak,so fly crash-lands in my room.,-0.5,808s & Heartbreak
808s & Heartbreak,"take off your cool then lose control. . . hey, hey, hey, hey.",-0.5,808s & Heartbreak
808s & Heartbreak,"when i grab your neck, i touch your soul.",0.10000000149011612,808s & Heartbreak
808s & Heartbreak,why would she make calls out the blue?.,-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,"and all i could show him was pictures of my cribs. he said his daughter got a brand new report card. and all i got was a brand new sports car, oh. . . and my head keeps spinning.",-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,and my head keeps spinning.,-0.699999988079071,808s & Heartbreak
808s & Heartbreak,bad enough that i showed up late.,-0.8999999761581421,808s & Heartbreak
808s & Heartbreak,but i couldn't hear him all the way in first class.,-0.30000001192092896,808s & Heartbreak
808s & Heartbreak,"can't stop having these visions, i gotta get with it.",0.8999999761581421,808s & Heartbreak
808s & Heartbreak,"can't stop, i can't stop, i can't stop.",0.8999999761581421,808s & Heartbreak
808s & Heartbreak,chased the good life my whole life long.,0.699999988079071,808s & Heartbreak
808s & Heartbreak,"i can't stop having these visions, i gotta get with it. . .",0.8999999761581421,808s & Heartbreak
808s & Heartbreak,"i can't stop having these visions, i gotta get with it. . . and i and i can't stop.",0.8999999761581421,808s & Heartbreak
808s & Heartbreak,"i can't stop having these visions, i gotta get with it. . . dad cracked a joke, all the kids laughed.",0.8999999761581421,808s & Heartbreak
808s & Heartbreak,i can't stop having these visions.,0.8999999761581421,808s & Heartbreak
808s & Heartbreak,i gotta get with it,0.0,808s & Heartbreak
808s & Heartbreak,i had to leave before they even cut the cake. welcome to heartbreak. . . and my head keeps spinning.,-0.800000011920929,808s & Heartbreak
808s & Heartbreak,"i've seen it, i've seen it before.",-0.10000000149011612,808s & Heartbreak
808s & Heartbreak,"i've seen it, i've seen it before. . .",-0.10000000149011612,808s & Heartbreak
808s & Heartbreak,look back on my life and my life gone.,-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,my friend showed me pictures of his kids.,0.10000000149011612,808s & Heartbreak
808s & Heartbreak,my god-sister getting married by the lake. but i couldn't figure out who i'd wanna take.,-0.5,808s & Heartbreak
808s & Heartbreak,"no, no, i can't stop.",0.5,808s & Heartbreak
808s & Heartbreak,"no, no, no, no, i can't stop.",0.4000000059604645,808s & Heartbreak
808s & Heartbreak,"no, no, no, no, no, no, no, no.",-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,"no, no, no, no.",-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,where did i go wrong?. . . and my head keeps spinning.,-0.4000000059604645,808s & Heartbreak
808s & Heartbreak,and you can't make it right.,-0.800000011920929,808s & Heartbreak
808s & Heartbreak,and you gonna show me.,0.10000000149011612,808s & Heartbreak
808s & Heartbreak,and you just gonna keep hating me. and we just gonna be enemies.,-0.8999999761581421,808s & Heartbreak
808s & Heartbreak,"ayo, i did some things, but that's the old me. and now you wanna get me back.",0.4000000059604645,808s & Heartbreak
808s & Heartbreak,"ayo, i know of some things that you ain't told me.",0.0,808s & Heartbreak
808s & Heartbreak,"baby, let's just knock it off.",-0.5,808s & Heartbreak
808s & Heartbreak,but in the end it's still so lonely. . . in the night i hear them talk.,-0.699999988079071,808s & Heartbreak
808s & Heartbreak,"cold as the winter wind when it breeze, yo?. just remember that you talking to me though.",-0.10000000149011612,808s & Heartbreak
808s & Heartbreak,evil?.,-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,"homie, i don't know, she's hot and cold.",-0.5,808s & Heartbreak
808s & Heartbreak,how could you be so dr.,-0.4000000059604645,808s & Heartbreak
808s & Heartbreak,how could you be so heartless?.,-0.800000011920929,808s & Heartbreak
808s & Heartbreak,how could you be so.,-0.30000001192092896,808s & Heartbreak
808s & Heartbreak,i could just leave it wrong.,-0.800000011920929,808s & Heartbreak
808s & Heartbreak,"i decided we wasn't gonna speak, so.",-0.5,808s & Heartbreak
808s & Heartbreak,i know you can't believe.,-0.20000000298023224,808s & Heartbreak
808s & Heartbreak,"i mean, after all the things that we been through.",-0.20000000298023224,808s & Heartbreak
808s & Heartbreak,"i mean, after all the things we got into.",-0.10000000149011612,808s & Heartbreak
808s & Heartbreak,"i won't stop, won't mess my groove up.",0.10000000149011612,808s & Heartbreak
808s & Heartbreak,i'm gonna take off tonight into the night. . . in the night i hear them talk.,-0.10000000149011612,808s & Heartbreak
808s & Heartbreak,in the night i hear them talk.,-0.10000000149011612,808s & Heartbreak
808s & Heartbreak,"oh, how could you be so heartless?",-0.800000011920929,808s & Heartbreak
808s & Heartbreak,"oh, how could you be so heartless?. . .",-0.8999999761581421,808s & Heartbreak
808s & Heartbreak,so i got something new to see.,0.4000000059604645,808s & Heartbreak
808s & Heartbreak,so you walk around like you don't know me.,-0.5,808s & Heartbreak
808s & Heartbreak,somewhere far along this road. he lost his soul. to a woman so heartless.,-0.800000011920929,808s & Heartbreak
808s & Heartbreak,talk and talk and talk and talk.,0.0,808s & Heartbreak
808s & Heartbreak,the coldest story ever told.,0.0,808s & Heartbreak
808s & Heartbreak,they don't know about me and you.,-0.800000011920929,808s & Heartbreak
808s & Heartbreak,they don't know what we been through.,-0.699999988079071,808s & Heartbreak
808s & Heartbreak,they say that they don't see what you see in me.,-0.699999988079071,808s & Heartbreak
808s & Heartbreak,why do she be so mad at me for?.,-0.800000011920929,808s & Heartbreak
808s & Heartbreak,why we up 3 am on the phone?.,-0.5,808s & Heartbreak
808s & Heartbreak,you bringing out a side of me that i don't know.,0.0,808s & Heartbreak
808s & Heartbreak,"you got a new friend, well, i got homies.",0.20000000298023224,808s & Heartbreak
808s & Heartbreak,"you need to watch the way you talking to me, yo.",-0.20000000298023224,808s & Heartbreak
808s & Heartbreak,you run and tell your friends that you're leavin' me.,-0.30000001192092896,808s & Heartbreak
808s & Heartbreak,"you wait a couple of months, then you gon' see.",-0.6000000238418579,808s & Heartbreak
808s & Heartbreak,you'll never find nobody better than me. . . in the night i hear them talk.,0.699999988079071,808s & Heartbreak
808s & Heartbreak,�cause i already know how this thing go.,-0.30000001192092896,808s & Heartbreak
808s & Heartbreak,"big family small house, no room.",0.0,808s & Heartbreak
808s & Heartbreak,die high blood pressure either let the feds catch ya .,-0.4000000059604645,808s & Heartbreak
808s & Heartbreak,everybody fired up this evening.,-0.5,808s & Heartbreak
808s & Heartbreak,"holding on to what i believe in. . . no matter what, you'll never take that from me.",0.0,808s & Heartbreak
808s & Heartbreak,i know i'm wrong.,-0.800000011920929,808s & Heartbreak
808s & Heartbreak,i know this world is changing.,0.20000000298023224,808s & Heartbreak
808s & Heartbreak,"i was bred to get it in, no spoon.",-0.699999988079071,808s & Heartbreak
808s & Heartbreak,"i'm a monster, i'm a killer.",0.0,808s & Heartbreak
808s & Heartbreak,"i'm a monster, i'm a maven.",0.0,808s & Heartbreak
808s & Heartbreak,i'm a problem.,-0.800000011920929,808s & Heartbreak
