count,words
223,n****
213,one
160,s***
151,thing
132,man
131,life
128,girl
103,baby
96,god
89,everything
88,way
80,hand
79,people
69,money
69,love
67,everybody
67,light
65,home
65,bitch
61,kid
56,head
55,all
54,friend
53,ass
52,kanye
52,nothing
51,jesus
48,lord
46,name
45,cause
44,something
43,two
40,mind
38,i'ma
37,eye
36,world
36,sky
35,nobody
34,beat
34,somebody
33,word
33,bout
32,homie
32,bitches
31,soul
30,car
29,song
29,yeezy
27,heart
27,step
27,school
26,hoe
26,dream
26,party
26,news
26,f***
26,motherf****er
25,street
25,boy
25,city
25,more
24,king
24,dick
23,air
23,ghosts
23,house
22,pussy
22,family
22,hell
22,power
22,game
22,monster
22,music
21,star
21,story
21,pain
21,30
21,mama
20,three
20,somethin
20,time
20,church
20,mine
19,crack music n****
19,father
19,murder
19,brother
19,place
19,door
18,lie
18,mr
18,daughter
18,ball
18,fore
18,work
18,dem
18,anything
17,l.a.
17,heaven
17,club
17,right
17,reason
17,devil
17,3
17,america
17,paper
17,job
16,water
16,side
16,benz
16,arm
16,truth
16,toast
15,rapper
15,question
15,dog
15,picture
15,problem
15,chain
15,glass
15,nothin
15,back
15,fire
15,chance
15,line
14,key
14,piece
14,big brother
14,room
14,hit
14,four
14,war
14,rap
14,chicago
14,face
14,slave
14,plan
14,diamond
13,momma
13,lot
13,whatever
13,blood
13,feeling
13,night sky
13,talk
13,mistake
13,mouth
13,faith
13,sun
13,glory
13,hood
12,phone
12,somewhere
12,death
12,5
12,2
12,parties
12,champion
12,clothes
12,spirit
12,cousin
12,class
12,show
12,i'mma
12,louis vuitton
12,dame
12,ey 'ey 'ey
12,love lock-down
12,best
11,verse
11,joke
11,drink
11,album
11,help
11,stack
11,bottle
11,weed
11,moon
11,9
11,crib
11,bullshit
11,top
11,part
11,children
11,freedom
11,plane
11,jay
11,blame game
11,dude
11,deal
11,c'mon homie
11,luxury
11,mall
11,tv
10,vision
10,guy
10,son
10,fly
10,zone
10,spaceship
10,chi-town
10,boss
10,bed
10,glasses
10,rain
10,no one
10,anybody
10,style
10,hustlers
10,end
10,religion
10,town
10,road
9,wall
9,round
9,ayy
9,high
9,mom
9,demons
9,babe
9,black
9,doctor
9,asshole
9,rhyme
9,track
9,beam
9,haters
9,jungle
9,memories
9,la la
9,god dream
9,robocop
9,gold
