album,,count,words
808s & Heartbreak,things,23,things
808s & Heartbreak,one,20,one
808s & Heartbreak,life,18,life
808s & Heartbreak,love,13,love
808s & Heartbreak,love lock-down,12,love lock-down
808s & Heartbreak,everybody,12,everybody
808s & Heartbreak,girl,11,girl
808s & Heartbreak,boy,9,boy
808s & Heartbreak,news,9,news
808s & Heartbreak,love lockdown,9,love lockdown
Graduation,shit,29,shit
Graduation,life,21,life
Graduation,everything,19,everything
Graduation,baby,17,baby
Graduation,man,16,man
Graduation,nothing,14,nothing
Graduation,big brother,14,big brother
Graduation,home,14,home
Graduation,people,13,people
Graduation,one,12,one
Jesus is King,jesus,31,jesus
Jesus is King,god,23,god
Jesus is King,hands,16,hands
Jesus is King,everything,14,everything
Jesus is King,one,12,one
Jesus is King,water,12,water
Jesus is King,life,12,life
Jesus is King,king,7,king
Jesus is King,light,7,light
Jesus is King,faith,6,faith
Kids See Ghosts,lord,28,lord
Kids See Ghosts,ghosts,23,ghosts
Kids See Ghosts,kids,22,kids
Kids See Ghosts,love,16,love
Kids See Ghosts,light,16,light
Kids See Ghosts,stress,9,stress
Kids See Ghosts,heaven,6,heaven
Kids See Ghosts,pain,6,pain
Kids See Ghosts,somethin,6,somethin
Kids See Ghosts,spirit,6,spirit
Late Registration,one,30,one
Late Registration,girl,25,girl
Late Registration,man,23,man
Late Registration,homie,22,homie
Late Registration,crack music nigga,19,crack music nigga
Late Registration,home,18,home
Late Registration,head,18,head
Late Registration,baby,16,baby
Late Registration,music,13,music
Late Registration,sky,13,sky
My Beautiful Dark Twisted Fantasy,one,30,one
My Beautiful Dark Twisted Fantasy,baby,25,baby
My Beautiful Dark Twisted Fantasy,shit,25,shit
My Beautiful Dark Twisted Fantasy,nigga,23,nigga
My Beautiful Dark Twisted Fantasy,life,20,life
My Beautiful Dark Twisted Fantasy,lights,20,lights
My Beautiful Dark Twisted Fantasy,hands,19,hands
My Beautiful Dark Twisted Fantasy,names,16,names
My Beautiful Dark Twisted Fantasy,niggas,15,niggas
My Beautiful Dark Twisted Fantasy,way,15,way
The College Dropout,man,50,man
The College Dropout,one,46,one
The College Dropout,shit,37,shit
The College Dropout,things,31,things
The College Dropout,people,25,people
The College Dropout,kanye,25,kanye
The College Dropout,step,24,step
The College Dropout,thing,23,thing
The College Dropout,nigga,23,nigga
The College Dropout,way,23,way
The Life of Pablo,one,31,one
The Life of Pablo,shit,24,shit
The Life of Pablo,kanye,23,kanye
The Life of Pablo,life,22,life
The Life of Pablo,baby,20,baby
The Life of Pablo,god,19,god
The Life of Pablo,30,19,30
The Life of Pablo,nigga,18,nigga
The Life of Pablo,yeezy,17,yeezy
The Life of Pablo,friends,16,friends
Watch the Throne,niggas,22,niggas
Watch the Throne,murder,17,murder
Watch the Throne,people,14,people
Watch the Throne,life,12,life
Watch the Throne,thing,11,thing
Watch the Throne,stars,10,stars
Watch the Throne,shit,10,shit
Watch the Throne,ball,10,ball
Watch the Throne,god,10,god
Watch the Throne,zone,9,zone
Yeezus,niggas,22,niggas
Yeezus,bitch,21,bitch
Yeezus,dem,18,dem
Yeezus,god,17,god
Yeezus,nobody,16,nobody
Yeezus,shit,11,shit
Yeezus,bitches,10,bitches
Yeezus,one,9,one
Yeezus,bout,9,bout
Yeezus,ass,8,ass
ye,niggas,16,niggas
ye,girl,11,girl
ye,mistake,10,mistake
ye,i'ma,9,i'ma
ye,ayy,9,ayy
ye,nigga,9,nigga
ye,shit,9,shit
ye,ass,9,ass
ye,one,8,one
ye,bottle,6,bottle
