Album,Song
The College Dropout,Intro (Skit)
The College Dropout,We Don't Care
The College Dropout,Graduation Day
The College Dropout,All Falls Down
The College Dropout,I'll Fly Away
The College Dropout,Spaceship
The College Dropout,Jesus Walks
The College Dropout,Never Let Me Down
The College Dropout,Get Em High
The College Dropout,Workout Plan (Skit)
The College Dropout,The New Workout Plan
The College Dropout,Slow Jamz
The College Dropout,Breathe in Breathe Out
The College Dropout,School Spirit (Skit 1)
The College Dropout,School Spirit
The College Dropout,School Spirit (Skit 2)
The College Dropout,Lil Jimmy (Skit)
The College Dropout,Two Words
The College Dropout,Through the Wire
The College Dropout,Family Business
The College Dropout,Last Call
808s & Heartbreak,Say You Will
808s & Heartbreak,Welcome to Heartbreak
808s & Heartbreak,Heartless
808s & Heartbreak,Amazing
808s & Heartbreak,Love Lockdown
808s & Heartbreak,Paranoid
808s & Heartbreak,RoboCop
808s & Heartbreak,Street Lights
808s & Heartbreak,Bad News
808s & Heartbreak,See You in My Nightmares
808s & Heartbreak,Coldest Winter
808s & Heartbreak,Pinocchio Story
Yeezus,On Sight
Yeezus,Black Skinhead
Yeezus,I Am a God
Yeezus,New Slaves
Yeezus,Hold My Liquor
Yeezus,I'm in It
Yeezus,Blood on the Leaves
Yeezus,Guilt Trip
Yeezus,Send It Up
Yeezus,Bound 2
Late Registration,Wake Up Mr. West
Late Registration,Heard 'Em Say
Late Registration,Touch the Sky
Late Registration,Gold Digger
Late Registration,Skit #1
Late Registration,Drive Slow
Late Registration,My Way Home
Late Registration,Crack Music
Late Registration,Roses
Late Registration,Bring Me Down
Late Registration,Addiction
Late Registration,Skit #2
Late Registration,Diamonds from Sierra Leone (Remix)
Late Registration,We Major
Late Registration,Skit #3
Late Registration,Hey Mama
Late Registration,Celebration
Late Registration,Skit #4
Late Registration,Gone
Late Registration,Late
Graduation,Good Morning
Graduation,Champion
Graduation,Stronger
Graduation,I Wonder
Graduation,Good Life
Graduation,Can't Tell Me Nothing
Graduation,Barry Bonds
Graduation,Drunk and Hot Girls
Graduation,Flashing Lights
Graduation,Everything I Am
Graduation,The Glory
Graduation,Homecoming
Graduation,Big Brother
My Beautiful Dark Twisted Fantasy,Dark Fantasy
My Beautiful Dark Twisted Fantasy,Gorgeous
My Beautiful Dark Twisted Fantasy,Power
My Beautiful Dark Twisted Fantasy,All of the Lights (Interlude)
My Beautiful Dark Twisted Fantasy,All of the Lights
My Beautiful Dark Twisted Fantasy,Monster
My Beautiful Dark Twisted Fantasy,So Appalled
My Beautiful Dark Twisted Fantasy,Devil in a New Dress
My Beautiful Dark Twisted Fantasy,Runaway
My Beautiful Dark Twisted Fantasy,Hell of a Life
My Beautiful Dark Twisted Fantasy,Blame Game
My Beautiful Dark Twisted Fantasy,Lost in the World
My Beautiful Dark Twisted Fantasy,Who Will Survive in America
Watch the Throne,No Church in the Wild
Watch the Throne,Lift Off
Watch the Throne,Niggas in Paris
Watch the Throne,Otis
Watch the Throne,Gotta Have It
Watch the Throne,New Day
Watch the Throne,That's My Bitch
Watch the Throne,Welcome to the Jungle
Watch the Throne,Who Gon Stop Me
Watch the Throne,Murder to Excellence
Watch the Throne,Made in America
Watch the Throne,Why I Love You
The Life of Pablo,Ultralight Beam
The Life of Pablo,"Father Strech My Hands, Pt. 1"
The Life of Pablo,Pt. 2
The Life of Pablo,Famous
The Life of Pablo,Feedback
The Life of Pablo,Low Lights
The Life of Pablo,Highlights
The Life of Pablo,Freestyle 4
The Life of Pablo,I Love Kanye
The Life of Pablo,Waves
The Life of Pablo,FML
The Life of Pablo,Real Friends
The Life of Pablo,Wolves
The Life of Pablo,Frank's Track
The Life of Pablo,Siiiiiiiiilver Surffffeeeeer Intermission
The Life of Pablo,30 Hours
The Life of Pablo,No More Parties in LA
The Life of Pablo,Facts
The Life of Pablo,Fade
The Life of Pablo,Saint Pablo
ye,I Thought About Killing You
ye,Yikes
ye,All Mine
ye,Wouldn't Leave (Ft. PARTYNEXTDOOR)
ye,No Mistakes
ye,Ghost Town (Ft. PARTYNEXTDOOR)
ye,Violent Crimes
Kids See Ghosts,Feel the Love (Ft. Pusha T)
Kids See Ghosts,Fire
Kids See Ghosts,4th Dimension (Ft. Louis Prima)
Kids See Ghosts,"Freeee (Ghost Town, Pt. 2) (Ft. Ty Dolla $ign)"
Kids See Ghosts,Reborn
Kids See Ghosts,Kids See Ghosts (Ft. Yasiin Bey)
Kids See Ghosts,Cudi Montage
Jesus is King,Every Hour (Ft. Sunday Service Choir)
Jesus is King,Selah
Jesus is King,Follow God
Jesus is King,Closed on Sunday
Jesus is King,On God
Jesus is King,Everything We Need (Ft. Ant Clemons & Ty Dolla $ign)
Jesus is King,Water (Ft. Ant Clemons)
Jesus is King,God Is
Jesus is King,Hands On (Ft. Fred Hammond)
Jesus is King,Use This Gospel (Ft. Clipse & Kenny G)
Jesus is King,Jesus Is Lord
